date,open,high,low,close
2018-09-27,8411.18,8434.87,8331.78,8334.75
2018-09-28,8351.63,8405.98,8317.48,8401.09
2018-10-08,8225.84,8249.39,8055.98,8060.83
2018-10-09,8083.23,8132.15,8013.19,8046.39
2018-10-10,8062.46,8090.22,7952.13,8010.69
2018-10-11,7753.03,7803.29,7481.89,7524.09
2018-10-12,7484.86,7595.93,7331.81,7558.28
2018-10-15,7571.71,7622.03,7430.96,7444.48
2018-10-16,7444.94,7493.15,7263.29,7298.98
2018-10-17,7390.69,7419.21,7206.34,7365.21
2018-10-18,7309.0,7316.19,7182.39,7187.49
2018-10-19,7097.04,7390.92,7084.44,7387.74
2018-10-22,7464.92,7816.82,7464.92,7748.82
2018-10-23,7752.18,7769.52,7523.07,7574.99
2018-10-24,7531.6,7653.24,7484.63,7545.11
2018-10-25,7334.52,7543.11,7305.77,7529.41
2018-10-26,7582.77,7621.38,7476.13,7504.72
2018-10-29,7449.64,7450.38,7290.82,7322.24
2018-10-30,7271.96,7451.66,7189.35,7375.23
2018-10-31,7385.98,7526.6,7373.75,7482.83
2018-11-01,7568.2,7689.57,7558.4,7567.79
2018-11-02,7763.49,7867.54,7709.44,7867.54
2018-11-05,7831.82,7895.54,7733.14,7839.08
2018-11-06,7807.09,7807.09,7701.51,7791.25
2018-11-07,7783.13,7871.17,7745.39,7752.04
2018-11-08,7813.63,7823.6,7692.34,7698.02
2018-11-09,7650.17,7705.26,7626.17,7648.55
2018-11-12,7634.82,7832.82,7622.47,7832.29
2018-11-13,7733.11,8008.11,7718.68,7963.66
2018-11-14,7942.08,7990.45,7894.21,7908.55
2018-11-15,7889.92,8002.1,7884.34,8002.1
2018-11-16,8003.47,8116.73,7959.14,8062.29
2018-11-19,8050.55,8108.85,8014.57,8108.85
2018-11-20,8031.36,8054.24,7870.41,7879.52
2018-11-21,7786.78,7919.07,7776.56,7908.47
2018-11-22,7929.79,7950.97,7857.81,7893.99
2018-11-23,7882.85,7889.13,7616.47,7636.7
2018-11-26,7627.4,7682.2,7586.6,7615.91
2018-11-27,7657.8,7682.76,7589.0,7635.16
2018-11-28,7633.37,7757.07,7572.65,7757.07
2018-11-29,7800.57,7820.45,7597.01,7597.01
2018-11-30,7583.84,7688.88,7537.92,7681.75
2018-12-03,7901.83,7968.09,7835.23,7938.47
2018-12-04,7916.55,7954.31,7890.66,7953.72
2018-12-05,7825.12,7972.98,7808.74,7928.51
2018-12-06,7854.59,7872.45,7725.99,7735.05
2018-12-07,7741.73,7765.14,7712.27,7733.89
2018-12-10,7663.26,7698.53,7606.0,7624.86
2018-12-11,7642.16,7685.4,7628.15,7685.4
2018-12-12,7721.82,7737.24,7675.26,7698.02
2018-12-13,7717.47,7849.66,7679.02,7808.04
2018-12-14,7785.29,7792.74,7624.72,7629.65
2018-12-17,7599.01,7618.68,7515.46,7592.65
2018-12-18,7540.96,7609.39,7473.45,7530.32
2018-12-19,7541.5,7548.72,7407.46,7418.69
2018-12-20,7402.2,7445.05,7363.77,7426.44
2018-12-21,7399.15,7405.27,7283.76,7337.6
2018-12-24,7315.26,7393.71,7293.15,7392.56
2018-12-25,7308.61,7362.07,7180.08,7332.35
2018-12-26,7323.99,7369.84,7277.56,7289.55
2018-12-27,7402.6,7415.92,7215.34,7215.34
2018-12-28,7229.87,7282.5,7174.9,7239.79
2019-01-02,7259.49,7266.47,7136.95,7149.27
2019-01-03,7134.15,7217.83,7081.83,7089.44
2019-01-04,7022.12,7284.84,7011.33,7284.84
2019-01-07,7333.32,7409.38,7303.46,7400.2
2019-01-08,7381.61,7412.19,7361.41,7391.65
2019-01-09,7425.64,7552.2,7404.49,7447.93
2019-01-10,7442.7,7491.69,7415.28,7428.61
2019-01-11,7441.18,7490.17,7404.31,7474.01
2019-01-14,7473.88,7488.36,7394.96,7409.2
2019-01-15,7403.79,7549.66,7386.15,7547.35
2019-01-16,7545.35,7586.66,7518.71,7540.45
2019-01-17,7534.04,7545.81,7463.99,7470.36
2019-01-18,7486.95,7584.76,7479.66,7581.39
2019-01-21,7591.19,7661.62,7578.49,7626.24
2019-01-22,7615.8,7615.8,7493.78,7516.79
2019-01-23,7493.07,7542.65,7489.32,7523.77
2019-01-24,7537.5,7604.99,7485.24,7573.52
2019-01-25,7581.29,7657.03,7554.55,7595.45
